distance,g_value,zz_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,zz_values
1,0,0.994096052035,-0.00277326375999,0.000295627589386,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.987812519073;0.993083357811;0.993656218052;0.996656239033;1.00387501717;0.995554685593;0.990249931812;0.989249944687;0.990075051785;0.997749984264;0.997312486172;0.995374977589;0.991049945354
1,0.10000000149,0.989979951436,0.0856289325416,0.26347555764,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.991281270981;0.984083354473;0.992718756199;0.993468761444;0.993874967098;0.996187508106;0.997000038624;0.994977295399;0.99464994669;0.996166706085;0.986062526703;0.995374977589;1.00170004368
1,0.20000000298,0.975107164366,0.0566377111197,0.202388592934,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.974187493324;0.974124968052;0.974015653133;0.979125022888;0.975562512875;0.975585997105;0.977999985218;0.978272736073;0.978224992752;0.978583335876;0.986531257629;0.980500042439;0.975300073624
1,0.300000011921,0.903032462105,0.617874787866,0.772687426727,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.901374995708;0.905416607857;0.904734373093;0.905015647411;0.927250027657;0.926296830177;0.936625003815;0.944454610348;0.947924911976;0.938583374023;0.945656239986;0.949750006199;0.951299965382
1,0.40000000596,0.745600538453,1.87657304159,0.745054774082,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.723718762398;0.745749950409;0.752531290054;0.768093764782;0.807187497616;0.827367186546;0.855937540531;0.8702044487;0.872625052929;0.872916698456;0.875343799591;0.884125053883;0.884700000286
1,0.5,0.522510515896,1.87374339892,0.666664799516,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.469593763351;0.513708353043;0.53756248951;0.564281225204;0.596562504768;0.61080467701;0.638875067234;0.652704536915;0.653699934483;0.640333354473;0.639375030994;0.658999979496;0.662250041962
1,0.600000023842,0.272727173777,1.26020542598,0.604044534633,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.219343751669;0.267291665077;0.291937500238;0.310874998569;0.32662498951;0.334757804871;0.354937463999;0.357545465231;0.361649990082;0.347833305597;0.33965626359;0.36562499404;0.370949983597
1,0.699999988079,0.177315296452,0.61451896622,0.346748154593,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.12903124094;0.16820833087;0.183750003576;0.216281250119;0.219124987721;0.223804682493;0.217499986291;0.220499992371;0.217275008559;0.198916658759;0.200343742967;0.225000008941;0.228449985385
1,0.800000011921,0.124116553259,-0.106200933693,0.0297323695286,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0883124992251;0.114833332598;0.123750001192;0.15318749845;0.134250000119;0.133804678917;0.127937495708;0.127295449376;0.112125001848;0.107833325863;0.0972187519073;0.114874996245;0.118799991906
1,0.899999976158,0.0954718999898,-0.709304985046,0.767527699442,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.070624999702;0.089583337307;0.0944999977946;0.0974531322718;0.084625005722;0.078117184341;0.0578750036657;0.0580227337778;0.0527250058949;0.0463333316147;0.042843747884;0.0323749966919;0.040049996227
