q_value,g_value,sf_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,sf_values
pi,0.5,0.340113068994,-0.971347966811,0.505893218231,1,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.345499962568;0.356781363487;0.336624860764;0.310249984264;0.299406200647;0.28887501359;0.296636343002;0.264400094748;0.24233341217;0.254312515259;0.2662499547;0.287800043821
pi,1.5,0.662382010523,-2.06506427128,0.618130286169,1,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.681541621685;0.66643756628;0.640437543392;0.615999996662;0.604000031948;0.54650002718;0.526545405388;0.513099968433;0.470666617155;0.518687427044;0.504249989986;0.528999984264
pi_over_2,0.5,0.536184113661,3.33683150014,0.224569351991,1,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.580750048161;0.584171891212;0.586062610149;0.571499943733;0.603812515736;0.589500010014;1;0.595300018787;1;0.576812565327;0.574500024319;1
pi_over_2,1.5,0.927864198882,0.82897052217,0.658830493757,1,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.929958403111;0.935265600681;0.926749944687;0.954583406448;0.955093681812;0.95349997282;1;0.969399929047;1;0.982749998569;0.981250047684;1
