observable_key,component,parameter,fit_of_finite_mean,bootstrap_mean,bootstrap_median,bootstrap_std,ci_low,ci_high,confidence,fit_degree,central_slope,central_r_squared,bootstrap_repetitions,qubits,inverse_qubits,finite_size_means
bootstrap_corr_spin_dot,1,0.714285731316,-0.912037708374,-0.912037708374,-0.912176876697,0.00827477115994,-0.927800772849,-0.895257940306,0.95,1,-0.350188871154,0.145547345684,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.920490948;-0.924183;-0.92255355;-0.954113318182;-0.94950525;-0.9252286875;-0.90743952;-0.91203372;-0.92111265675;-0.9128375256
bootstrap_corr_spin_dot,1,0.785714268684,-0.831728193049,-0.831728193049,-0.831897532161,0.0086119059078,-0.848778119626,-0.81455921538,0.95,1,1.15826493215,0.337040006793,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.7683672204;-0.76125712;-0.74594115;-0.787748318182;-0.76922025;-0.832584111188;-0.805768665345;-0.8307649035;-0.758451898772;-0.83010466077
bootstrap_corr_spin_dot,1,0.857142865658,-0.653905761287,-0.653905761287,-0.654449167757,0.0080074845688,-0.669885260961,-0.637922017957,0.95,1,0.462227423819,0.117240132769,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.62051067;-0.6122095;-0.62002485;-0.676448181818;-0.619366125;-0.661129869053;-0.64639589175;-0.6355932975;-0.617793716925;-0.659153738801
bootstrap_corr_spin_dot,1,0.928571403027,-0.534844346485,-0.534844346485,-0.53471611294,0.00821455778279,-0.550013267429,-0.519169593989,0.95,1,-0.28840403286,0.0229160862939,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.571104495;-0.532658;-0.53594415;-0.609691090909;-0.506831625;-0.54278690625;-0.51843525;-0.524302875;-0.580495588848;-0.532533367296
bootstrap_corr_spin_dot,1,1,-0.486226398013,-0.486226398013,-0.486055148305,0.00805049954391,-0.502506675642,-0.471222299341,0.95,1,-0.109052708741,0.00320757318626,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,-0.526672575;-0.445131;-0.48522465;-0.549867681818;-0.453501;-0.4897850625;-0.47631225;-0.477791775;-0.515013566256;-0.483174163584
bootstrap_corr_spin_dot,2,0,0.665355876681,0.665355876681,0.665466381071,0.00880429338358,0.647619920177,0.682863547988,0.95,1,-0.570062905614,0.0923558009266,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.678385125;0.631021;0.63534825;0.585487227273;0.611470125;0.65447859375;0.64977375;0.664978275;0.69223809375;0.640185625
bootstrap_corr_spin_dot,2,0.0714285746217,0.674661693922,0.674661693922,0.674488935272,0.00892774493444,0.657339611069,0.692947878162,0.95,1,-0.85111699509,0.258863991152,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.65906775;0.632828;0.6189039;0.596127272727;0.613663875;0.6666744375;0.6427825;0.665676225;0.686498203125;0.65057225
bootstrap_corr_spin_dot,2,0.142857149243,0.674361770509,0.674361770509,0.674142600848,0.00878891706,0.657355007579,0.691419075188,0.95,1,-1.15643382247,0.481248777891,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.620555625;0.627836;0.6162264;0.577486227273;0.61583325;0.64354978125;0.63591925;0.6462405;0.683716078125;0.649856125
bootstrap_corr_spin_dot,2,0.214285731316,0.665762354831,0.665762354831,0.665657887853,0.00858762674294,0.649162809507,0.682673374979,0.95,1,-1.26938958655,0.481916193185,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.610138125;0.5935155;0.61600635;0.568249363636;0.589861875;0.6451155;0.62921275;0.63015165;0.67506946875;0.632255625
bootstrap_corr_spin_dot,2,0.285714298487,0.643518409001,0.643518409001,0.6435827471,0.00856243381635,0.626387833722,0.660000175454,0.95,1,-1.38606051199,0.563802363113,1000,16;18;20;22;24;32;36;40;64;72,0.0625;0.0555555555556;0.05;0.0454545454545;0.0416666666667;0.03125;0.0277777777778;0.025;0.015625;0.0138888888889,0.5661984375;0.5931795;0.5804748;0.53334;0.571130625;0.602841375;0.607372;0.608168025;0.642232265625;0.619181
